노선,시설유형,개통연도,군,재구조화_asof,요금이벤트,근거,메타출처
부산-울산,간선,2008,1군,없음 — 스크립트상 재구조화·변경협약 기록 없음(최초 실시협약 2006.5.12 자체가 BTO-a 원형 비용보전 구조: 자기자본 6% 미달 보전/8% 초과 환수). 패널 비고는 'NABO 수입패널 제외 표본(재구조화6)'으로 분류,"없음 — 인하 이벤트 기록 없음(협약 통행료 '16 4,000→'19 4,200원, NABO)",개통 2008.12.29=backtest_case_busanulsan.py 독스트링(위키 census 동일) · 군=ledger V-007 1군 · 구조=스크립트 독스트링(최초협약서 원문 73p 확보·제41조 수익률 세전 4.74%/세후 4.21%·도공 51%+국민연금 49% 공공출자 SPC) · 시설유형=고속도로 축(간선),meta-agent1
서울-춘천,간선,2009,1군,"2020.12.22 — 기간연장+차액보전 재구조화: 통행료 5,700→4,100원(-28.1%), 운영 '39.08→'54.08(+15년), 기존기간 수익률 6.98% 유지·연장기간 2.01%(세전경상), 사업권가치 9,300억(MP-24-11 표2-13)","2018.4.16 자금재조달 인하 6,800→5,700원(-16.2%) · 2020.12.22 재구조화 인하 5,700→4,100원(-28.1%)","개통 2009=스크립트 MRG 15년('09~'24) 기간+위키 census 2009.7.15 · 군=ledger V-006 1군 · 재구조화·요금=backtest_case_chuncheon.py 독스트링(최초협약 2004.3.19, 원문 78p 확보) · 패널 비고 '재구조화6' · 시설유형=고속도로 축(간선; v2 공변량 '재구조화로 갓 리셋된 축' 케이스 — P50 1.0 수축 대상)",meta-agent1
서수원-평택,간선,2009,2군,"없음 — 순수 BTO, MRG·재구조화 없음(계획vs실적 비교에 가장 깨끗한 구조; 스크립트 독스트링·위키 census 일치)","없음 — 인하 이벤트 없는 통행료 동결(징수 2,700원 vs 협약 가정 3,100원 → '23부터 수입은 협약 미달 전환, 미인상분 보전 대상 구조)",개통 2009.10.29=backtest_case_seosuwon.py 독스트링·OPEN_YEAR=2009 · 군=ledger V-017 2군 · 구조=스크립트 독스트링(최초 실시협약 2005.1.10 원문 58p 확보) · 시설유형=고속도로 축(간선; 실현율 107~117% 초과는 v2 설계상 배후 개발(동탄) 상단 공변량·우측 성분 p_up 케이스이지 도시권 그룹 아님),meta-agent1
평택-시흥,간선,2013,미채점(원장 V 없음 — KOTI 22개 패널 표본만),없음 — MRG 폐지 후 신규 BTO(위키 census). 자금재조달 절감분을 통행료 인하 등 공익 목적에 사용하는 협약변경 이력 있음(연도 미상),"명시 이벤트 없음 — 자금재조달 절감분의 통행료 인하 활용 협약변경 이력만 기록(위키 census 특이사항, 연도 미상)",케이스 스크립트 없음 → 위키 ppp-road-census-backtest-2026.md §평택-시흥고속도로(제2서해안)로 충당: 개통 2013.3.28·SPC 제이서해안고속도로(주)·MRG 없음·협약대비 통행량 91.9%('16)/92.3%('18) · verification_ledger V-001~022에 부재=미채점 · 패널(realization_panel.csv)에는 교통량 '22~'24+수입 '21~'25 존재(비고 없음) · 시설유형=고속도로 축(간선),meta-agent1
용인-서울,간선,2009,2군,"없음 — 재구조화 아님. 2015 자금재조달(3차 변경실시협약, 위키 census)·MRG 없음","없음 — 인하 이벤트 없는 요금 동결(징수 1,800원 vs 협약 2,200원 → 수입 실현율 80.8('21)→62.5%('25) 하락 일로)","개통 2009.7.1=backtest_case_yongin.py 독스트링(실시협약 2005.1.10, 회사 공식) · 군=ledger V-018 2군 · 구조=스크립트 독스트링+위키 census §용인-서울(MRG 없음·2015 자금재조달) · 시설유형=고속도로 축(간선; 스크립트 관찰의 '마창·일산·범안로 도시권 성장 패턴과 동일(수지·광교)'은 v2 설계상 배후 개발 공변량 더미이지 도시권-성장형 그룹 배속 아님)",meta-agent1
인천대교,특수,2009,1군,"없음(채점 구간 '22~'24 기준) — 단 위키 census는 2025.12 인천공항고속도로와 통합채산제 적용+통행료 징수기간 2061년까지 연장을 '재구조화'로 표기(채점 구간 이후 이벤트). 1차 변경협약(175p, 최초 108p보다 大)은 전면 변경 추정 — 협약축 세대 판별 과제","통행료 63% 인하(소형 5,500→2,000원) — 시점 표기 소스 불일치: 스크립트 2023.10.18(정책브리핑) / 원장 V-008 ''24 요금 63% 인하' / 위키 census 2025.12.18. 실현율 82.3('22)→102.1('23)→108.5%('24) 초과 전환은 스크립트가 인하 직후 효과로 기술","개통 2009=backtest_case_incheonbridge.py 독스트링 2009.10.19(위키 census 10.24 — 일자 불일치, 연도 동일) · 군=ledger V-008 1군 · MRG 80%/환수 120%·15년('09~'24)=스크립트 독스트링 · 시설유형=특수(12.3km 해상교량 — v2-overcoming-design §1 ④특수·단일목적, 거가대교 동류; 회랑 경쟁(영종대교·공항철도) 공변량)",meta-agent1
일산-퇴계원,간선,2006,1군,"2018.3.29 — 국내 사업재구조화 1호: 기간연장+투자자변경, 통행료 4,800→3,200원(-33%), 운영 '36→'56(+20년), 기존기간 8.51% 유지+MRG 등 신규투자자 부담, 연장기간 2.74%(세전경상) 최소비용보전, 사업권가치 2조3,053억, 국민연금 86%→(연장기간) 미래에셋 60%(MP-24-11 표2-12)","2018.3.29 통행료 4,800→3,200원(-33%, 재구조화와 동시) — 참고: 개통 통행료 4,300원('07.12~'09.12 명시)",해당 스크립트=backtest_case_seoulbeltway.py(일산대교 backtest_case_ilsan.py와 별개 노선) · 개통 2006=스크립트 최초협약 체제 2006.6~+MRG 90% 20년('06~'26); 위키 census '개통 2006~2007(완전개통 2007.12.28)' · 군=ledger V-005 1군('수도권1순환 퇴계원-일산') · 재구조화·요금=스크립트 독스트링 · 패널 표기=realization_panel.csv '일산-퇴계원'(원문표기 '서울외곽(일산-퇴계원)')·비고 '재구조화6' · 시설유형=수도권 순환 고속도로 축(간선; v2 공변량 '재구조화로 갓 리셋된 축' 케이스),meta-agent1
인천-김포,간선,2017,2군,"없음 — 2기 신규 사업(MRG 무), 재구조화 이력 없음","없음 — 인하 이벤트 없는 요금 동결(징수 2,600원 vs 협약 2,800원 → 수입 실현율 67.2('21)→58.2%('25) 하락)","개통 2017.3=backtest_case_incheongimpo.py 독스트링(28.9km 수도권2순환 서측; 위키 census '2017 3월 개통, 건설 2012.3~2017.3') · 군=ledger V-020 2군 · 협약수익률 세후실질 5.07%(NABO 2009 본문 — 2기 수익률 하향 클러스터)=스크립트 독스트링 · 시설유형=고속도로 축(간선)",meta-agent1
광주-원주,간선,2016,선행(V-002 — 1군·2군 편성 전 선행 케이스),없음,없음(이벤트성 인하·무료화 없음 — 미인상·명절면제 통행료 재정지원 누적: 케이스 스크립트 SUBSIDY '18 7.2억→'25 161.6억),"개통: backtest_case_gwangju.py(최초 실시협약 2008.5.30)·census 문서 '개통 2016 (11.11 개통, 착공 2011.11)'·data-panel.md '광주-원주 (개통 2016)' / 군: v2-overcoming-design.md 'V-001~021 (1군 14 + 2군 5 + 인천공항·광주원주)' + progress 원장 'V-002 광주-원주 (2기·MRG무)' / 재구조화: realization_panel.csv 재구조화6 표본 미포함 + data-panel.md 수입패널 '17개 노선 완전 수록(재구조화 6개 노선 제외)'에 포함 + census 'MRG 미적용' / 요금이벤트: backtest_case_gwangju.py SUBSIDY 주석 '미인상·면제 통",meta-agent2
상주-영천,간선,2017,"홀드아웃(V-022 사전 등록 홀드아웃 채점, '26-07-31)",없음,"통행료 관리 로드맵('18.8) 2단계 자금재조달 대상 — 요금 1.31배→1.1배 내외로 '22년까지 순차 인하 계획, 실제 시행 시점·인하율 미확보(✚, 잠정)","개통: backtest_case_sangju.py OPEN_DATE='2017-06-27'(CEPHIS 기본정보)·census '2017 (6월 개통, 연장 94.0km)' / 군: prereg-v022-sangju-yeongcheon-2026.md 제목 '홀드아웃 채점 (결과 확인 전 등록)' / 재구조화: NABO 수입패널 17노선 포함(재구조화 6개 제외 표본) / 요금이벤트: prereg 문서 §2 0단계 게이트 표 — 국토부 「민자고속도로 통행료 관리 로드맵」('18.8)",meta-agent2
옥산-오창,간선,2018,"미배정(원장 군 라벨 없음 — 백테스트 미착수, 패널에는 NABO 수입축만 등재)",없음,없음(확인된 이벤트 없음),"개통: census '2018 (CEPHIS 기준; 2014.1 착공 후 4년, 연장 12.1km)' / 실측: 협약대비 37.8%('21, KOTI 수시22-02 p.43-44 — 전국 최하위권)·수입 실현율 33.4→25.0% 최저 수준(data-panel.md NABO 수입패널) / 유형: 고속국도 32호 간선 축 / 재구조화: NABO 수입패널 17노선 포함",meta-agent2
구리-포천,간선,2017,미배정(원장 군 라벨 없음 — 백테스트 미착수),없음,없음(확인된 이벤트 없음 — '25 징수 급증은 'IC 신설?' 의문부호로만 기록),"개통: census '2017 (6.30 개통, 연장 50.6km)'·data-panel.md '구리-포천 (개통 2017)' / census 특이사항 'MRG 미적용' / 요금이벤트 관련: data-panel.md 수입패널 '구리-포천 88.9→90.8% 양호('25 징수 급증 — IC 신설?)' / 재구조화: NABO 수입패널 17노선 포함 / 유형: 고속국도 29호(세종포천선 북측) 간선 축",meta-agent2
봉담-송산,간선,2021,미배정(원장 군 라벨 없음 — 백테스트 미착수),없음,없음(확인된 이벤트 없음),"개통: census '2021 (4.28 개통, 연장 18.3km, 착공 2017.4)'·data-panel.md '봉담-송산 (개통 2021)' / 유형: 수도권제2순환 남서측(고속국도 400호) 간선 순환축 — 단 화성 배후 개발 진행 지역으로 성장형 공변량 검토 여지 / 재구조화: NABO 수입패널 17노선 포함",meta-agent2
부산신항제2배후,특수,2017,미배정(원장 군 라벨 없음 — 백테스트 미착수),없음,없음(확인된 이벤트 없음),"개통: census '2017 (1.13 개통, 연장 15.3km)'·data-panel.md '부산신항제2배후 (개통 2017)' / 유형: census 특이사항 '항만 물동량 연동 수요라는 특수성' — v2 그룹④(특수·단일목적, 배후 산업 경기 연동) 기준 / 재구조화: census 'MRG 없는 BTO로 명시'·NABO 수입패널 포함(부산항신항 52.8→30.3% 최악 하락) / 실현율 46.7→35.6% 하락(data-panel.md)",meta-agent2
서울-문산,간선,2020,미배정(원장 군 라벨 없음 — 백테스트 미착수),없음,"없음(개통 초 통행료 갈등 이력은 '합의한 전문기관 검증'으로 해소 — 인하·무료화 이벤트 아님, KOTI RR-23-19 갈등사례)","개통: census '2020 (11월 개통, 연장 35.2km)'·data-panel.md '서울-문산 (개통 2020)' / 요금이벤트 관련: census 계획자료·특이사항(KOTI ④ RR-23-19 통행료 갈등 해소 2사례 중 하나) / 재구조화: NABO 수입패널 17노선 포함(81.9→84.2% 양호) / 유형: 고속국도 17호 북측 간선 축",meta-agent2
수원-광명,간선,2016,미배정(원장 군 라벨 없음 — 백테스트 미착수),없음,없음(확인된 이벤트 없음),"개통: census '2016 (4.28 개통, 운영기간 '16.04~'46.04 30년)'·data-panel.md '수원-광명 (개통 2016)' / census 특이사항 'MRG 미적용(2009 이후 협약)' / 재구조화: NABO 수입패널 17노선 포함(77.2→76.6% 정체) / 유형: 고속국도 17호 간선 축",meta-agent2
평택-부여,간선,2024,미배정(원장 군 라벨 없음 — REG-2026-001 전향 예측 대상·채점 재료),없음,없음(확인된 이벤트 없음),"개통: census '2024 (12.10 개통, 연장 94km — 민자고속도로 최장 노선(전체 137.7km)의 1단계)'·data-panel.md '평택-부여 (개통 2024)'·realization_panel.csv 비고 '개통 초기(부분·램프업)' / 군: data-panel.md 수입패널 'REG-2026-001 대상 — 채점 재료' / census '2019년 실시협약 — BTO-a 시대 사업' / 유형: 서부내륙 1단계(고속국도 17/173호) 간선 축",meta-agent2
포천-화도,간선,2024,미배정(원장 군 라벨 없음 — REG-2026-001 전향 예측 대상·채점 재료),없음,없음(확인된 이벤트 없음),"개통: census '2024 (2월 초 개통, 연장 28.7km)'·data-panel.md '포천-화도 (개통 2024)'·realization_panel.csv 비고 '개통 초기(부분·램프업)' / 군: data-panel.md 수입패널 'REG-2026-001 전향 예측 대상 — 채점 재료' / 유형: 수도권제2순환 북동측(고속국도 400호) 간선 순환축",meta-agent2
화성-광주,간선,2022,미배정(원장 군 라벨 없음 — 후속 케이스 후보: '수입도 초과하는 2번째 반례'),없음,없음(통행료 갈등 해소 사례 '이천오산'으로 KOTI RR-23-19 수록 — 인하·무료화 이벤트는 미확인),"개통: census '2022 (5월 개통, 연장 31.2km, 착공 2017.3; 구 사업명 이천-오산)'·data-panel.md '화성-광주 (개통 2022)' / 군: data-panel.md 수입패널 '화성-광주 110.0→109.0% — 수입도 초과하는 2번째 반례(손실 음수) — 후속 케이스 후보' + v2-overcoming-design §1 p_up 표본(초과 2개: 서수원평택·화성광주) / 유형: 수도권제2순환 남동측(고속국도 400호) 간선 축 — 배후 개발 상단 공변량 후보",meta-agent2
